"Time_ka","Benthic_d18O_per.mil","Standard_error_per.mil","yearsElapsed"
2427.5,3.66,0.05,4597572500
2430,3.93,0.06,4597570000
2432.5,4.17,0.06,4597567500
2435,4.09,0.06,4597565000
2437.5,4.14,0.05,4597562500
2440,4.01,0.04,4597560000
2442.5,4,0.07,4597557500
2445,3.95,0.07,4597555000
2447.5,3.91,0.06,4597552500
2450,3.73,0.06,4597550000
2452.5,3.69,0.05,4597547500
2455,3.45,0.05,4597545000
2457.5,3.39,0.05,4597542500
2460,3.39,0.06,4597540000
2462.5,3.21,0.07,4597537500
2465,3.25,0.06,4597535000
2467.5,3.31,0.06,4597532500
2470,3.32,0.06,4597530000
2472.5,3.43,0.07,4597527500
2475,3.57,0.08,4597525000
2477.5,3.7,0.07,4597522500
2480,3.7,0.05,4597520000
2482.5,3.96,0.05,4597517500
2485,3.99,0.1,4597515000
2487.5,4.16,0.06,4597512500
2490,3.83,0.08,4597510000
2492.5,3.65,0.09,4597507500
2495,3.62,0.05,4597505000
2497.5,3.43,0.06,4597502500
2500,3.18,0.08,4597500000
2502.5,3.35,0.05,4597497500
2505,3.48,0.05,4597495000
2507.5,3.42,0.06,4597492500
2510,3.65,0.05,4597490000
2512.5,3.76,0.09,4597487500
2515,3.89,0.07,4597485000
2517.5,4.12,0.07,4597482500
2520,4.13,0.07,4597480000
2522.5,4.06,0.06,4597477500
2525,4.13,0.03,4597475000
2527.5,4.03,0.04,4597472500
2530,3.89,0.06,4597470000
2532.5,3.93,0.04,4597467500
2535,3.73,0.09,4597465000
2537.5,3.74,0.05,4597462500
2540,3.63,0.07,4597460000
2542.5,3.35,0.08,4597457500
2545,3.27,0.06,4597455000
2547.5,3.18,0.07,4597452500
2550,3.21,0.06,4597450000
2552.5,3.28,0.08,4597447500
2555,3.43,0.06,4597445000
2557.5,3.39,0.07,4597442500
2560,3.37,0.06,4597440000
2562.5,3.38,0.07,4597437500
2565,3.63,0.05,4597435000
2567.5,3.53,0.06,4597432500
2570,3.47,0.05,4597430000
2572.5,3.47,0.06,4597427500
2575,3.41,0.07,4597425000
2577.5,3.32,0.06,4597422500
2580,3.23,0.05,4597420000
2582.5,3.26,0.05,4597417500
2585,3.16,0.08,4597415000
2587.5,3.27,0.07,4597412500
2590,3.43,0.06,4597410000
2592.5,3.45,0.07,4597407500
2595,3.47,0.05,4597405000
2597.5,3.74,0.05,4597402500
2600,3.9,0.05,4597400000
2602.5,3.86,0.06,4597397500
2605,3.81,0.06,4597395000
2607.5,3.85,0.05,4597392500
2610,3.62,0.07,4597390000
2612.5,3.64,0.05,4597387500
2615,3.44,0.08,4597385000
2617.5,3.45,0.07,4597382500
2620,3.27,0.05,4597380000
2622.5,3.24,0.05,4597377500
2625,3.31,0.08,4597375000
2627.5,3.26,0.08,4597372500
2630,3.23,0.06,4597370000
2632.5,3.44,0.05,4597367500
2635,3.45,0.07,4597365000
2637.5,3.48,0.06,4597362500
2640,3.66,0.04,4597360000
2642.5,3.72,0.05,4597357500
2645,3.84,0.06,4597355000
2647.5,3.69,0.05,4597352500
2650,3.51,0.09,4597350000
2652.5,3.41,0.06,4597347500
2655,3.35,0.07,4597345000
2657.5,3.14,0.09,4597342500
2660,3.23,0.08,4597340000
2662.5,3.05,0.08,4597337500
2665,3.25,0.05,4597335000
2667.5,3.24,0.09,4597332500
2670,3.19,0.06,4597330000
2672.5,3.2,0.07,4597327500
2675,3.22,0.08,4597325000
2677.5,3.36,0.07,4597322500
2680,3.37,0.07,4597320000
2682.5,3.54,0.08,4597317500
2685,3.68,0.06,4597315000
2687.5,3.75,0.03,4597312500
2690,3.61,0.06,4597310000
2692.5,3.53,0.06,4597307500
2695,3.61,0.08,4597305000
2697.5,3.57,0.07,4597302500
2700,3.61,0.05,4597300000
2702.5,3.48,0.07,4597297500
2705,3.79,0.04,4597295000
2707.5,3.76,0.07,4597292500
2710,3.7,0.05,4597290000
2712.5,3.76,0.06,4597287500
2715,3.87,0.04,4597285000
2717.5,3.8,0.05,4597282500
2720,3.8,0.06,4597280000
2722.5,3.77,0.06,4597277500
2725,3.66,0.08,4597275000
2727.5,3.61,0.07,4597272500
2730,3.47,0.05,4597270000
2732.5,3.39,0.05,4597267500
2735,3.27,0.06,4597265000
2737.5,3.12,0.04,4597262500
2740,3.18,0.05,4597260000
2742.5,3.04,0.06,4597257500
2745,3.15,0.05,4597255000
2747.5,3.09,0.04,4597252500
2750,3.13,0.05,4597250000
2752.5,3.21,0.04,4597247500
2755,3.19,0.05,4597245000
2757.5,3.16,0.05,4597242500
2760,3.27,0.05,4597240000
2762.5,3.24,0.04,4597237500
2765,3.24,0.05,4597235000
2767.5,3.15,0.05,4597232500
2770,3.13,0.04,4597230000
2772.5,3.28,0.05,4597227500
2775,3.31,0.04,4597225000
2777.5,3.23,0.05,4597222500
2780,3.18,0.05,4597220000
2782.5,3.16,0.05,4597217500
2785,3.19,0.05,4597215000
2787.5,3.24,0.06,4597212500
2790,3.21,0.06,4597210000
2792.5,3.26,0.05,4597207500
2795,3.41,0.07,4597205000
2797.5,3.4,0.05,4597202500
2800,3.5,0.06,4597200000
2802.5,3.74,0.05,4597197500
2805,3.78,0.05,4597195000
2807.5,3.73,0.06,4597192500
2810,3.65,0.07,4597190000
2812.5,3.66,0.05,4597187500
2815,3.63,0.05,4597185000
2817.5,3.45,0.05,4597182500
2820,3.38,0.06,4597180000
2822.5,3.26,0.05,4597177500
2825,3.15,0.08,4597175000
2827.5,3.12,0.06,4597172500
2830,3.16,0.06,4597170000
2832.5,3.11,0.04,4597167500
2835,3.17,0.08,4597165000
2837.5,3.27,0.08,4597162500
2840,3.34,0.05,4597160000
2842.5,3.42,0.06,4597157500
2845,3.38,0.07,4597155000
2847.5,3.5,0.07,4597152500
2850,3.4,0.06,4597150000
2852.5,3.42,0.05,4597147500
2855,3.44,0.06,4597145000
2857.5,3.33,0.06,4597142500
2860,3.19,0.08,4597140000
2862.5,3.25,0.06,4597137500
2865,3.37,0.05,4597135000
2867.5,3.31,0.06,4597132500
2870,3.3,0.09,4597130000
2872.5,3.23,0.06,4597127500
2875,3.23,0.05,4597125000
2877.5,3.47,0.06,4597122500
2880,3.48,0.06,4597120000
2882.5,3.45,0.04,4597117500
2885,3.5,0.08,4597115000
2887.5,3.46,0.06,4597112500
2890,3.49,0.04,4597110000
2892.5,3.34,0.07,4597107500
2895,3.29,0.05,4597105000
2897.5,3.14,0.05,4597102500
2900,3.22,0.06,4597100000
2902.5,3.21,0.07,4597097500
2905,3.32,0.05,4597095000
2907.5,3.28,0.08,4597092500
2910,3.27,0.04,4597090000
2912.5,3.3,0.05,4597087500
2915,3.49,0.08,4597085000
2917.5,3.41,0.05,4597082500
2920,3.51,0.05,4597080000
2922.5,3.5,0.06,4597077500
2925,3.5,0.04,4597075000
2927.5,3.33,0.09,4597072500
2930,3.43,0.1,4597070000
2932.5,3.51,0.07,4597067500
2935,3.31,0.06,4597065000
2937.5,3.18,0.06,4597062500
2940,3.09,0.08,4597060000
2942.5,2.95,0.07,4597057500
2945,2.95,0.04,4597055000
2947.5,3.06,0.06,4597052500
2950,2.93,0.06,4597050000
2952.5,2.92,0.07,4597047500
2955,3.16,0.05,4597045000
2957.5,3.23,0.06,4597042500
2960,3.08,0.08,4597040000
2962.5,3.18,0.06,4597037500
2965,3.16,0.05,4597035000
2967.5,3.35,0.06,4597032500
2970,3.3,0.06,4597030000
2972.5,3.33,0.04,4597027500
2975,3.48,0.06,4597025000
2977.5,3.43,0.04,4597022500
2980,3.45,0.07,4597020000
2982.5,3.26,0.06,4597017500
2985,3.07,0.06,4597015000
2987.5,3.15,0.06,4597012500
2990,3.18,0.07,4597010000
2992.5,3.21,0.04,4597007500
2995,3.2,0.07,4597005000
2997.5,3.22,0.06,4597002500
3000,3.36,0,4.597e+09
3005,3.44,0.04,4596995000
3010,3.46,0.04,4596990000
3015,3.52,0.04,4596985000
3020,3.49,0.04,4596980000
3025,3.32,0.04,4596975000
3030,3.13,0.04,4596970000
3035,3.09,0.06,4596965000
3040,3.23,0.05,4596960000
3045,3.31,0.04,4596955000
3050,3.33,0.06,4596950000
3055,3.14,0.04,4596945000
3060,2.95,0.06,4596940000
3065,3.05,0.06,4596935000
3070,3.09,0.06,4596930000
3075,3.1,0.04,4596925000
3080,3.09,0.05,4596920000
3085,2.94,0.06,4596915000
3090,3.18,0.05,4596910000
3095,3.18,0.05,4596905000
3100,3.08,0.05,4596900000
3105,3.06,0.06,4596895000
3110,3.13,0.04,4596890000
3115,3.22,0.04,4596885000
3120,3.26,0.03,4596880000
3125,3.34,0.04,4596875000
3130,3.38,0.03,4596870000
3135,3.45,0.05,4596865000
3140,3.38,0.05,4596860000
3145,3.35,0.05,4596855000
3150,3.16,0.05,4596850000
3155,2.95,0.04,4596845000
3160,3.01,0.05,4596840000
3165,3.04,0.05,4596835000
3170,3.14,0.04,4596830000
3175,3.19,0.04,4596825000
3180,3.16,0.05,4596820000
3185,3.08,0.05,4596815000
3190,2.95,0.05,4596810000
3195,3.09,0.04,4596805000
3200,3.02,0.07,4596800000
3205,3,0.05,4596795000
3210,3.02,0.05,4596790000
3215,3.2,0.04,4596785000
3220,3.13,0.04,4596780000
3225,3.21,0.04,4596775000
3230,3.13,0.03,4596770000
3235,3.24,0.05,4596765000
3240,3.04,0.05,4596760000
3245,3.04,0.06,4596755000
3250,3.03,0.04,4596750000
3255,3.17,0.04,4596745000
3260,3.16,0.04,4596740000
3265,3.32,0.05,4596735000
3270,3.27,0.05,4596730000
3275,3.33,0.05,4596725000
3280,3.26,0.04,4596720000
3285,3.4,0.04,4596715000
3290,3.65,0.04,4596710000
3295,3.74,0.04,4596705000
3300,3.71,0.03,4596700000
3305,3.42,0.04,4596695000
3310,3.37,0.05,4596690000
3315,3.22,0.05,4596685000
3320,3.1,0.04,4596680000
3325,3.2,0.05,4596675000
3330,3.21,0.05,4596670000
3335,3.25,0.04,4596665000
3340,3.41,0.04,4596660000
3345,3.31,0.04,4596655000
3350,3.18,0.04,4596650000
3355,3.22,0.05,4596645000
3360,3.17,0.04,4596640000
3365,3.11,0.03,4596635000
3370,3.15,0.04,4596630000
3375,3.35,0.03,4596625000
3380,3.35,0.03,4596620000
3385,3.25,0.04,4596615000
3390,3.16,0.05,4596610000
3395,3.08,0.04,4596605000
3400,3.13,0.04,4596600000
3405,3.14,0.04,4596595000
3410,3.08,0.05,4596590000
3415,2.99,0.05,4596585000
3420,3.1,0.05,4596580000
3425,3.2,0.05,4596575000
3430,3.11,0.04,4596570000
3435,2.9,0.04,4596565000
3440,2.9,0.03,4596560000
3445,3.04,0.03,4596555000
3450,3.12,0.03,4596550000
3455,3.03,0.04,4596545000
3460,3.07,0.06,4596540000
3465,3.23,0.05,4596535000
3470,3.09,0.04,4596530000
3475,2.92,0.04,4596525000
3480,2.89,0.05,4596520000
3485,3,0.04,4596515000
3490,2.98,0.04,4596510000
3495,3.06,0.04,4596505000
3500,2.93,0.05,4596500000
3505,2.95,0.05,4596495000
3510,2.97,0.06,4596490000
3515,3.04,0.05,4596485000
3520,3.11,0.04,4596480000
3525,3.18,0.05,4596475000
3530,3.14,0.04,4596470000
3535,3.01,0.04,4596465000
3540,2.92,0.04,4596460000
3545,3.01,0.03,4596455000
3550,3.11,0.04,4596450000
3555,3.12,0.03,4596445000
3560,3.14,0.03,4596440000
3565,3.05,0.04,4596435000
3570,2.89,0.04,4596430000
3575,2.94,0.04,4596425000
3580,3.18,0.03,4596420000
3585,3.16,0.03,4596415000
3590,3.15,0.05,4596410000
3595,2.99,0.06,4596405000
3600,3,0.04,4596400000
3605,3.09,0.05,4596395000
3610,2.93,0.04,4596390000
3615,3.04,0.04,4596385000
3620,3.2,0.05,4596380000
3625,3.33,0.04,4596375000
3630,3.41,0.04,4596370000
3635,3.29,0.04,4596365000
3640,3.05,0.05,4596360000
3645,2.98,0.04,4596355000
3650,2.96,0.03,4596350000
3655,3.14,0.04,4596345000
3660,3.18,0.05,4596340000
3665,3.4,0.03,4596335000
3670,3.45,0.03,4596330000
3675,3.21,0.04,4596325000
3680,3.05,0.03,4596320000
3685,2.98,0.04,4596315000
3690,2.92,0.04,4596310000
3695,3.02,0.04,4596305000
3700,3.05,0.05,4596300000
3705,3.1,0.04,4596295000
3710,3.28,0.05,4596290000
3715,3.29,0.04,4596285000
3720,2.97,0.04,4596280000
3725,2.83,0.06,4596275000
3730,3,0.04,4596270000
3735,2.93,0.04,4596265000
3740,2.96,0.04,4596260000
3745,3.2,0.05,4596255000
3750,3.08,0.05,4596250000
3755,2.98,0.05,4596245000
3760,2.93,0.04,4596240000
3765,2.89,0.03,4596235000
3770,3.09,0.03,4596230000
3775,3.08,0.04,4596225000
3780,3.05,0.04,4596220000
3785,2.97,0.04,4596215000
3790,3.06,0.06,4596210000
3795,3.21,0.07,4596205000
3800,3,0.06,4596200000
3805,3.1,0.05,4596195000
3810,3.05,0.04,4596190000
3815,3,0.06,4596185000
3820,2.99,0.05,4596180000
3825,3.22,0.04,4596175000
3830,3.26,0.04,4596170000
3835,3.05,0.04,4596165000
3840,2.86,0.04,4596160000
3845,2.88,0.05,4596155000
3850,2.9,0.05,4596150000
3855,2.89,0.05,4596145000
3860,2.89,0.04,4596140000
3865,3.17,0.05,4596135000
3870,3.16,0.05,4596130000
3875,3.25,0.04,4596125000
3880,3.01,0.06,4596120000
3885,2.95,0.04,4596115000
3890,2.89,0.04,4596110000
3895,3.06,0.04,4596105000
3900,2.92,0.04,4596100000
3905,2.92,0.03,4596095000
3910,2.87,0.03,4596090000
3915,3.07,0.04,4596085000
3920,3.08,0.03,4596080000
3925,2.91,0.04,4596075000
3930,2.89,0.04,4596070000
3935,2.83,0.05,4596065000
3940,2.97,0.05,4596060000
3945,3.04,0.03,4596055000
3950,3.02,0.04,4596050000
3955,2.9,0.06,4596045000
3960,2.89,0.05,4596040000
3965,2.94,0.04,4596035000
3970,3.01,0.05,4596030000
3975,3.01,0.06,4596025000
3980,3.06,0.05,4596020000
3985,3.06,0.08,4596015000
3990,3.24,0.06,4596010000
3995,3.3,0.04,4596005000
4000,3.23,0.05,4.596e+09
4005,3.16,0.06,4595995000
4010,2.96,0.06,4595990000
4015,2.95,0.05,4595985000
4020,3.07,0.05,4595980000
4025,3.02,0.04,4595975000
4030,3.12,0.04,4595970000
4035,3.17,0.05,4595965000
4040,3.2,0.05,4595960000
4045,3.16,0.04,4595955000
4050,3.06,0.04,4595950000
4055,3.06,0.06,4595945000
4060,3.1,0.04,4595940000
4065,3.01,0.04,4595935000
4070,3.08,0.05,4595930000
4075,3.02,0.07,4595925000
4080,3.01,0.04,4595920000
4085,3.03,0.06,4595915000
4090,3.07,0.04,4595910000
4095,3.07,0.05,4595905000
4100,2.87,0.05,4595900000
4105,2.88,0.05,4595895000
4110,2.87,0.04,4595890000
4115,2.91,0.04,4595885000
4120,2.94,0.04,4595880000
4125,3,0.05,4595875000
4130,2.82,0.03,4595870000
4135,2.98,0.04,4595865000
4140,2.92,0.04,4595860000
4145,2.98,0.04,4595855000
4150,3.11,0.05,4595850000
4155,3.16,0.06,4595845000
4160,3.11,0.05,4595840000
4165,3,0.05,4595835000
4170,3.06,0.09,4595830000
4175,2.99,0.05,4595825000
4180,2.87,0.09,4595820000
4185,2.86,0.04,4595815000
4190,2.95,0.06,4595810000
4195,3.04,0.05,4595805000
4200,3.11,0.04,4595800000
4205,3.04,0.06,4595795000
4210,3,0.04,4595790000
4215,2.85,0.04,4595785000
4220,3,0.04,4595780000
4225,2.98,0.05,4595775000
4230,2.91,0.04,4595770000
4235,3.03,0.04,4595765000
4240,3.03,0.04,4595760000
4245,3.06,0.04,4595755000
4250,2.99,0.03,4595750000
4255,3.1,0.08,4595745000
4260,2.95,0.06,4595740000
4265,2.96,0.04,4595735000
4270,2.88,0.09,4595730000
4275,3.06,0.07,4595725000
4280,2.9,0.04,4595720000
4285,2.95,0.06,4595715000
4290,3.02,0.04,4595710000
4295,3.03,0.05,4595705000
4300,3.04,0.05,4595700000
4305,2.88,0.04,4595695000
4310,2.86,0.05,4595690000
4315,2.85,0.05,4595685000
4320,2.84,0.06,4595680000
4325,2.83,0.05,4595675000
4330,3,0.05,4595670000
4335,2.85,0.06,4595665000
4340,2.73,0.05,4595660000
4345,2.87,0.04,4595655000
4350,2.84,0.08,4595650000
4355,2.89,0.07,4595645000
4360,3.03,0.04,4595640000
4365,3.07,0.05,4595635000
4370,2.95,0.05,4595630000
4375,2.89,0.06,4595625000
4380,2.98,0.04,4595620000
4385,2.76,0.06,4595615000
4390,2.83,0.06,4595610000
4395,2.94,0.06,4595605000
4400,2.99,0.04,4595600000
4405,3.08,0.03,4595595000
4410,3.03,0.05,4595590000
4415,3.13,0.04,4595585000
4420,2.97,0.05,4595580000
4425,2.94,0.04,4595575000
4430,2.88,0.05,4595570000
4435,2.92,0.06,4595565000
4440,2.88,0.05,4595560000
4445,2.9,0.05,4595555000
4450,3.03,0.05,4595550000
4455,2.95,0.05,4595545000
4460,2.85,0.04,4595540000
4465,2.85,0.05,4595535000
4470,2.87,0.06,4595530000
4475,2.86,0.06,4595525000
4480,2.95,0.05,4595520000
4485,2.92,0.04,4595515000
4490,3.1,0.07,4595510000
4495,3.1,0.06,4595505000
4500,3.12,0.06,4595500000
4505,3.07,0.06,4595495000
4510,2.93,0.05,4595490000
4515,2.99,0.07,4595485000
4520,2.79,0.07,4595480000
4525,3.01,0.05,4595475000
4530,3.04,0.05,4595470000
4535,3.09,0.05,4595465000
4540,2.87,0.04,4595460000
4545,2.81,0.08,4595455000
4550,2.88,0.05,4595450000
4555,2.9,0.04,4595445000
4560,3.02,0.05,4595440000
4565,2.93,0.05,4595435000
4570,2.98,0.04,4595430000
4575,3.16,0.05,4595425000
4580,3.11,0.04,4595420000
4585,3.1,0.04,4595415000
4590,3,0.04,4595410000
4595,3,0.03,4595405000
4600,2.98,0.04,4595400000
4605,3.09,0.04,4595395000
4610,3.14,0.06,4595390000
4615,3.05,0.05,4595385000
4620,3.04,0.05,4595380000
4625,3.01,0.04,4595375000
4630,3.02,0.06,4595370000
4635,2.95,0.05,4595365000
4640,2.95,0.06,4595360000
4645,2.93,0.05,4595355000
4650,3.09,0.05,4595350000
4655,3.13,0.06,4595345000
4660,2.88,0.05,4595340000
4665,2.97,0.06,4595335000
4670,2.86,0.05,4595330000
4675,2.92,0.06,4595325000
4680,2.86,0.06,4595320000
4685,3.06,0.07,4595315000
4690,3.17,0.05,4595310000
4695,3.08,0.04,4595305000
4700,3.13,0.04,4595300000
4705,2.97,0.05,4595295000
4710,2.92,0.06,4595290000
4715,3.03,0.04,4595285000
4720,2.95,0.06,4595280000
4725,3.13,0.04,4595275000
4730,3.14,0.05,4595270000
4735,3.09,0.04,4595265000
4740,2.91,0.04,4595260000
4745,2.96,0.04,4595255000
4750,3.04,0.04,4595250000
4755,2.86,0.07,4595245000
4760,2.92,0.05,4595240000
4765,3,0.03,4595235000
4770,3.2,0.06,4595230000
4775,3.17,0.06,4595225000
4780,3,0.04,4595220000
4785,2.99,0.05,4595215000
4790,2.93,0.05,4595210000
4795,2.96,0.05,4595205000
4800,2.99,0.03,4595200000
4805,2.99,0.08,4595195000
4810,3.15,0.05,4595190000
4815,3.15,0.04,4595185000
4820,3.03,0.05,4595180000
4825,2.83,0.05,4595175000
4830,2.85,0.06,4595170000
4835,2.96,0.06,4595165000
4840,3.04,0.06,4595160000
4845,3.24,0.05,4595155000
4850,3.3,0.05,4595150000
4855,3.08,0.06,4595145000
4860,3.06,0.05,4595140000
4865,2.98,0.05,4595135000
4870,2.88,0.06,4595130000
4875,2.86,0.05,4595125000
4880,2.91,0.06,4595120000
4885,3.18,0.06,4595115000
4890,3.27,0.1,4595110000
4895,3.3,0.07,4595105000
4900,3.15,0.06,4595100000
4905,3.03,0.05,4595095000
4910,2.85,0.06,4595090000
4915,2.85,0.04,4595085000
4920,2.96,0.05,4595080000
4925,2.77,0.07,4595075000
4930,2.91,0.04,4595070000
4935,3.03,0.06,4595065000
4940,3.07,0.05,4595060000
4945,3.03,0.07,4595055000
4950,3.05,0.06,4595050000
4955,2.84,0.12,4595045000
4960,2.86,0.07,4595040000
4965,2.91,0.08,4595035000
4970,2.93,0.09,4595030000
4975,2.94,0.06,4595025000
4980,3.17,0.06,4595020000
4985,2.95,0.07,4595015000
4990,2.74,0.05,4595010000
4995,2.85,0.05,4595005000
5000,2.79,0.04,4.595e+09
5005,2.95,0.06,4594995000
5010,2.94,0.06,4594990000
5015,2.87,0.07,4594985000
5020,2.74,0.07,4594980000
5025,2.74,0.1,4594975000
5030,2.77,0.06,4594970000
5035,2.79,0.08,4594965000
5040,3.06,0.06,4594960000
5045,3.17,0.05,4594955000
5050,3.04,0.07,4594950000
5055,3.06,0.08,4594945000
5060,2.85,0.06,4594940000
5065,2.9,0.1,4594935000
5070,2.93,0.08,4594930000
5075,2.69,0.07,4594925000
5080,2.78,0.09,4594920000
5085,2.81,0.07,4594915000
5090,2.66,0.06,4594910000
5095,2.88,0.06,4594905000
5100,3,0.11,4594900000
5105,3.04,0.05,4594895000
5110,2.92,0.04,4594890000
5115,2.86,0.07,4594885000
5120,2.8,0.08,4594880000
5125,2.72,0.02,4594875000
5130,2.68,0.06,4594870000
5135,2.65,0.08,4594865000
5140,2.94,0.07,4594860000
5145,2.9,0.05,4594855000
5150,2.89,0.09,4594850000
5155,2.91,0.07,4594845000
5160,2.82,0.13,4594840000
5165,2.95,0.05,4594835000
5170,3.02,0.09,4594830000
5175,3.21,0.1,4594825000
5180,3.11,0.08,4594820000
5185,3.02,0.08,4594815000
5190,3,0.07,4594810000
5195,2.82,0.11,4594805000
5200,2.86,0.08,4594800000
5205,3,0.11,4594795000
5210,2.96,0.06,4594790000
5215,2.87,0.06,4594785000
5220,2.84,0.09,4594780000
5225,2.93,0.07,4594775000
5230,2.98,0.05,4594770000
5235,2.77,0.08,4594765000
5240,2.92,0.07,4594760000
5245,2.97,0.09,4594755000
5250,3.06,0.09,4594750000
5255,3.09,0.12,4594745000
5260,3.01,0.07,4594740000
5265,2.98,0.08,4594735000
5270,2.8,0.07,4594730000
5275,2.89,0.11,4594725000
5280,2.89,0.08,4594720000
5285,2.8,0.06,4594715000
5290,2.92,0.03,4594710000
5295,2.97,0.06,4594705000
5300,2.91,0.06,4594700000
5305,2.79,0.04,4594695000
5310,2.79,0.09,4594690000
5315,2.84,0.07,4594685000
5320,2.91,0.09,4594680000
